Rank,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
1,Wisconsin,13,793,2266,746,3059,4.1,235.3
2,Georgia,15,1183,2836,969,4019,4.15,267.9
3,Minnesota,13,1268,2356,745,3624,4.86,278.8
4,Oklahoma State,14,1227,2943,910,4170,4.58,297.9
5,Air Force,13,1376,2518,743,3894,5.24,299.5
6,Houston,14,1515,2716,858,4231,4.93,302.2
7,Alabama,15,1290,3271,956,4561,4.77,304.1
8,Clemson,13,1252,2719,894,3971,4.44,305.5
9,Iowa State,13,1590,2435,798,4025,5.04,309.6
10,Cincinnati,14,2088,2369,996,4457,4.47,318.4
11,Liberty,13,1819,2344,874,4163,4.76,320.2
12,San Diego State,14,1151,3401,960,4552,4.74,325.1
13,Arizona State,13,1709,2533,853,4242,4.97,326.3
14,Texas A&M,12,1618,2312,844,3930,4.66,327.5
15,UAB,13,1449,2825,851,4274,5.02,328.8
16,Iowa,14,1602,3003,976,4605,4.72,328.9
16,Army,13,1531,2745,741,4276,5.77,328.9
18,Syracuse,12,1513,2451,776,3964,5.11,330.3
19,North Carolina State,12,1479,2491,804,3970,4.94,330.8
20,Michigan,14,1770,2862,939,4632,4.93,330.9
21,Western Michigan,13,1886,2423,741,4309,5.82,331.5
22,Coastal Carolina,13,1877,2474,836,4351,5.2,334.7
23,Washington,12,2328,1715,806,4043,5.02,336.9
24,Troy,12,1714,2339,799,4053,5.07,337.8
25,Kentucky,13,1587,2842,804,4429,5.51,340.7
26,Louisiana-Lafayette,14,2084,2688,934,4772,5.11,340.9
27,Boston College,12,2043,2082,760,4125,5.43,343.8
28,Appalachian State,14,1710,3108,923,4818,5.22,344.1
28,Utah,14,1705,3112,913,4817,5.28,344.1
30,Kansas State,13,1686,2798,835,4484,5.37,344.9
31,Mississippi State,13,1474,3013,807,4487,5.56,345.2
32,Baylor,14,1652,3192,941,4844,5.15,346
33,Fresno State,13,1622,2886,861,4508,5.24,346.8
34,UTEP,13,1805,2730,869,4535,5.22,348.8
35,Navy,12,1572,2618,696,4190,6.02,349.2
36,Toledo,13,1969,2583,933,4552,4.88,350.2
37,West Virginia,13,1804,2750,821,4554,5.55,350.3
38,Pittsburgh,14,1249,3700,978,4949,5.06,353.5
39,Penn State,13,1999,2598,965,4597,4.76,353.6
40,South Alabama,12,1755,2501,787,4256,5.41,354.7
41,South Carolina,13,2275,2350,821,4625,5.63,355.8
42,Southern Mississippi,12,1868,2425,743,4293,5.78,357.8
43,Notre Dame,13,1761,2915,887,4676,5.27,359.7
44,New Mexico,12,1716,2641,816,4357,5.34,363.1
45,Boise State,12,1904,2475,800,4379,5.47,364.9
46,Purdue,13,2035,2713,857,4748,5.54,365.2
47,Nebraska,12,1763,2629,828,4392,5.3,366
48,California,12,1641,2754,829,4395,5.3,366.3
49,Illinois,12,1822,2582,840,4404,5.24,367
50,Arkansas,13,2000,2779,885,4779,5.4,367.6
51,Florida,13,2131,2651,873,4782,5.48,367.8
52,Miami (Ohio),13,1897,2893,865,4790,5.54,368.5
53,UCF,13,2070,2731,946,4801,5.08,369.3
54,Arizona,12,2155,2281,756,4436,5.87,369.7
55,Tulsa,13,1857,2957,885,4814,5.44,370.3
56,Wyoming,13,2349,2467,892,4816,5.4,370.5
57,San Jose State,12,1623,2833,867,4456,5.14,371.3
58,Middle Tennessee,13,1768,3075,941,4843,5.15,372.5
59,Ohio State,13,1648,3196,909,4844,5.33,372.6
60,Auburn,13,1650,3195,920,4845,5.27,372.7
60,UTSA,14,1606,3612,924,5218,5.65,372.7
62,Bowling Green,12,2254,2234,850,4488,5.28,374
63,Colorado State,12,1995,2533,829,4528,5.46,377.3
64,LSU,13,1830,3078,891,4908,5.51,377.5
65,Florida State,12,1735,2798,874,4533,5.19,377.8
65,Washington State,13,2093,2818,889,4911,5.52,377.8
67,North Texas,13,1976,2990,875,4966,5.68,382
68,Central Michigan,13,1551,3422,889,4973,5.59,382.5
69,Indiana,12,1777,2828,818,4605,5.63,383.8
70,UCLA,12,1491,3122,842,4613,5.48,384.4
71,Oregon,14,2005,3380,989,5385,5.44,384.6
72,Old Dominion,13,1744,3261,939,5005,5.33,385
73,Oregon State,13,1867,3166,883,5033,5.7,387.2
74,BYU,13,2042,3015,880,5057,5.75,389
75,Miami (Florida),12,1668,3007,865,4675,5.4,389.6
76,Oklahoma,13,1677,3403,887,5080,5.73,390.8
77,Utah State,14,2265,3224,946,5489,5.8,392.1
78,Virginia Tech,13,2198,2914,873,5112,5.86,393.2
79,East Carolina,12,1940,2782,790,4722,5.98,393.5
80,Rutgers,13,2093,3054,866,5147,5.94,395.9
81,Marshall,13,2496,2660,1003,5156,5.14,396.6
