Rank,Name,G,Rush Yards,Pass Yards,Plays,Total Yards,Yards/Play,Yards/G
1,Ohio State,13,2344,4952,917,7296,7.96,561.2
2,Western Kentucky,14,1435,6072,1046,7507,7.18,536.2
3,Virginia,12,1485,4711,892,6196,6.95,516.3
4,Coastal Carolina,13,2974,3457,831,6431,7.74,494.7
5,Kent State,14,3483,3425,1052,6908,6.57,493.4
6,Mississippi,13,2829,3573,1017,6402,6.29,492.5
7,Alabama,15,2250,5073,1119,7323,6.54,488.2
8,Pittsburgh,14,2089,4723,1069,6812,6.37,486.6
9,Tennessee,13,2825,3342,953,6167,6.47,474.4
10,North Carolina,13,2768,3324,894,6092,6.81,468.6
11,Wake Forest,14,2247,4303,1084,6550,6.04,467.9
12,Western Michigan,13,2783,3298,959,6081,6.34,467.8
13,SMU,12,1937,3654,890,5591,6.28,465.9
14,Fresno State,13,1783,4247,953,6030,6.33,463.8
15,Florida,13,2713,3304,911,6017,6.6,462.8
16,Marshall,13,2105,3830,939,5935,6.32,456.5
17,BYU,13,2436,3433,868,5869,6.76,451.5
18,Oklahoma,13,2426,3425,851,5851,6.88,450.1
19,Utah State,14,2040,4248,1066,6288,5.9,449.1
20,Miami (Florida),12,1532,3854,879,5386,6.13,448.8
21,Louisville,13,2768,3061,873,5829,6.68,448.4
22,Nebraska,12,2162,3197,832,5359,6.44,446.6
23,USC,12,1747,3580,901,5327,5.91,443.9
24,Michigan,14,3001,3202,970,6203,6.39,443.1
25,Georgia,15,2866,3778,952,6644,6.98,442.9
26,Tulsa,13,2496,3254,960,5750,5.99,442.3
27,Appalachian State,14,2701,3487,980,6188,6.31,442
28,Arkansas,13,2961,2781,902,5742,6.37,441.7
29,Mississippi State,13,823,4918,975,5741,5.89,441.6
30,UCLA,12,2581,2714,854,5295,6.2,441.3
31,Maryland,13,1774,3960,928,5734,6.18,441.1
32,Central Michigan,13,2329,3400,968,5729,5.92,440.7
33,Purdue,13,1092,4616,967,5708,5.9,439.1
34,UTSA,14,2565,3561,1004,6126,6.1,437.6
35,Liberty,13,2356,3315,889,5671,6.38,436.2
36,TCU,12,2355,2875,783,5230,6.68,435.8
36,Memphis,12,1645,3585,861,5230,6.07,435.8
38,Toledo,13,2558,3085,860,5643,6.56,434.1
39,East Carolina,12,1945,3253,899,5198,5.78,433.2
40,Utah,14,3041,3000,946,6041,6.39,431.5
41,North Texas,13,3043,2563,1033,5606,5.43,431.2
42,Oregon State,13,2760,2820,868,5580,6.43,429.2
43,Michigan State,13,2283,3291,879,5574,6.34,428.8
44,Northern Illinois,14,3379,2623,1004,6002,5.98,428.7
45,Notre Dame,13,1872,3672,903,5544,6.14,426.5
46,Miami (Ohio),13,1919,3621,879,5540,6.3,426.2
47,Texas,12,2391,2705,803,5096,6.35,424.7
48,Iowa State,13,2089,3430,857,5519,6.44,424.5
49,Nevada,13,1006,4511,909,5517,6.07,424.4
50,Kentucky,13,2594,2919,862,5513,6.4,424.1
51,Oregon,14,2833,3098,946,5931,6.27,423.6
52,Baylor,14,3076,2837,938,5913,6.3,422.4
53,Air Force,13,4261,1229,944,5490,5.82,422.3
54,Duke,12,2166,2855,934,5021,5.38,418.4
55,Texas Tech,13,2068,3351,826,5419,6.56,416.8
56,Oklahoma State,14,2589,3238,1068,5827,5.46,416.2
57,Colorado State,12,1969,3020,911,4989,5.48,415.8
58,North Carolina State,12,1514,3461,815,4975,6.1,414.6
59,Cincinnati,14,2417,3377,863,5794,6.71,413.9
59,Houston,14,1992,3802,973,5794,5.95,413.9
61,Missouri,13,2342,3036,918,5378,5.86,413.7
62,Louisiana-Lafayette,14,2716,3059,969,5775,5.96,412.5
63,Buffalo,12,2283,2583,906,4866,5.37,405.5
64,Hawai'i,13,1857,3408,893,5265,5.9,405
65,Charlotte,12,1798,3044,822,4842,5.89,403.5
66,UCF,13,2552,2680,866,5232,6.04,402.5
67,Auburn,13,2096,3121,898,5217,5.81,401.3
68,Florida Atlantic,12,1821,2975,835,4796,5.74,399.7
69,Arkansas State,12,989,3767,873,4756,5.45,396.3
70,UTEP,13,1826,3283,849,5109,6.02,393
71,Texas A&M,12,2196,2503,788,4699,5.96,391.6
72,Arizona State,13,2513,2530,808,5043,6.24,387.9
73,UAB,13,2342,2683,799,5025,6.29,386.5
73,Tulane,12,1977,2661,823,4638,5.64,386.5
75,Georgia State,13,2922,2101,897,5023,5.6,386.4
76,California,12,1976,2653,784,4629,5.9,385.8
77,Louisiana Tech,12,1467,3141,826,4608,5.58,384
78,Eastern Michigan,13,1541,3417,910,4958,5.45,381.4
79,Boise State,12,1444,3128,869,4572,5.26,381
80,Florida State,12,2132,2419,786,4551,5.79,379.3
81,Washington State,13,1577,3336,856,4913,5.74,377.9
82,Penn State,13,1404,3491,923,4895,5.3,376.5
83,Army,13,3654,1233,868,4887,5.63,375.9
84,Old Dominion,13,2093,2789,914,4882,5.34,375.5
85,Wyoming,13,2752,2115,839,4867,5.8,374.4
86,West Virginia,13,1607,3223,899,4830,5.37,371.5
87,Ohio,12,2248,2209,748,4457,5.96,371.4
88,Wisconsin,13,2742,2082,867,4824,5.56,371.1
89,New Mexico State,12,1206,3236,890,4442,4.99,370.2
90,LSU,13,1483,3307,888,4790,5.39,368.5
91,South Alabama,12,1337,3072,846,4409,5.21,367.4
92,Florida International,12,1225,3182,750,4407,5.88,367.3
92,Georgia Tech,12,2027,2380,786,4407,5.61,367.3
