Tm,#Bat,BatAge,R/G,G,PA,AB,R,H,2B,3B,HR,RBI,SB,CS,BB,SO,BA,OBP,SLG,OPS,OPS+,TB,GDP,HBP,SH,SF,IBB,LOB
Arizona Diamondbacks,37,27.2,2.88,17,623,542,49,100,23,1,15,47,7,3,65,161,.185,.279,.314,.592,75,170,6,8,2,6,2,119
Atlanta Braves,32,29.2,4.00,17,625,553,68,128,38,1,20,64,3,1,58,151,.231,.310,.412,.723,105,228,15,8,0,6,0,110
Baltimore Orioles,32,28.0,2.75,16,604,527,44,111,24,1,6,43,12,3,60,161,.211,.301,.294,.595,78,155,7,10,2,4,1,131
Boston Red Sox,31,28.8,3.53,17,620,565,60,127,34,1,11,60,2,1,38,134,.225,.274,.347,.621,78,196,13,4,3,10,3,104
Chicago Cubs,30,28.7,5.25,16,605,531,84,145,35,2,13,77,4,3,61,128,.273,.354,.420,.774,127,223,20,8,1,4,4,113
Chicago White Sox,31,28.8,3.33,15,528,490,50,105,22,1,14,46,10,1,33,113,.214,.266,.349,.615,83,171,6,2,1,2,0,83
Cincinnati Reds,34,30.0,2.69,16,555,499,43,93,18,0,9,42,4,4,44,150,.186,.262,.277,.538,52,138,10,8,0,3,0,83
Cleveland Guardians,34,26.1,4.69,16,607,546,75,140,27,7,14,74,6,3,48,130,.256,.321,.408,.729,116,223,13,6,2,5,0,107
Colorado Rockies,29,29.7,4.56,16,599,536,73,141,31,2,17,68,4,3,44,125,.263,.327,.424,.751,110,227,13,10,3,6,0,110
Detroit Tigers,35,28.8,3.53,15,548,484,53,112,18,3,7,53,2,3,56,129,.231,.316,.324,.640,93,157,12,5,0,3,1,100
Houston Astros,31,29.7,3.50,16,595,532,56,112,24,1,18,54,6,3,53,130,.211,.285,.361,.646,92,192,9,4,2,3,3,108
Kansas City Royals,30,29.0,3.07,14,498,461,43,99,17,3,11,40,11,2,32,102,.215,.272,.336,.608,78,155,10,4,1,0,0,84
Los Angeles Angels,33,28.5,4.82,17,638,558,82,138,23,3,23,78,12,9,66,155,.247,.332,.423,.755,124,236,13,7,3,4,1,111
Los Angeles Dodgers,31,29.8,5.38,16,612,533,86,131,24,4,18,81,14,1,67,135,.246,.332,.407,.739,116,217,8,5,0,7,0,110
Miami Marlins,28,29.5,3.93,15,573,501,59,121,22,6,12,56,8,1,58,144,.242,.326,.381,.708,110,191,11,8,0,6,2,119
Milwaukee Brewers,28,29.9,3.29,17,597,533,56,107,26,2,12,52,9,4,51,149,.201,.275,.325,.599,75,173,9,6,0,7,1,97
Minnesota Twins,34,27.4,3.62,16,584,511,58,111,19,1,16,54,4,3,62,149,.217,.309,.352,.661,100,180,14,7,0,3,1,106
New York Mets,32,30.4,4.78,18,695,606,86,155,26,3,17,80,12,4,65,136,.256,.340,.393,.732,120,238,10,15,3,6,0,133
New York Yankees,29,30.7,3.62,16,596,524,58,123,25,0,17,54,9,3,55,140,.235,.314,.380,.694,106,199,13,8,3,5,2,117
Oakland Athletics,36,28.7,4.06,17,611,555,69,116,26,1,15,61,8,1,48,155,.209,.278,.341,.619,90,189,10,6,0,2,2,93
Philadelphia Phillies,31,28.7,4.24,17,627,559,72,141,34,2,16,69,3,0,51,144,.252,.319,.406,.726,115,227,17,8,1,8,0,111
Pittsburgh Pirates,31,27.8,3.56,16,583,527,57,123,19,4,11,52,8,4,52,144,.233,.301,.347,.648,92,183,11,0,1,3,1,106
San Diego Padres,33,28.6,3.94,17,631,542,67,120,25,3,13,64,11,3,67,151,.221,.315,.351,.666,103,190,13,11,3,8,2,119
Seattle Mariners,30,26.9,4.81,16,624,538,77,129,28,3,18,76,11,1,76,130,.240,.340,.403,.743,126,217,9,7,0,3,2,130
San Francisco Giants,33,30.3,4.88,17,641,571,83,136,27,1,19,77,10,4,56,158,.238,.312,.389,.701,107,222,11,8,0,6,2,105
St. Louis Cardinals,29,29.7,4.13,15,565,501,62,117,23,1,13,60,13,1,51,120,.234,.311,.361,.672,103,181,11,7,1,4,0,107
Tampa Bay Rays,35,27.1,4.44,16,592,528,71,129,30,4,13,67,9,3,54,143,.244,.318,.390,.708,118,206,7,5,0,5,2,108
Texas Rangers,33,29.3,4.81,16,609,548,77,128,23,0,13,72,9,5,50,120,.234,.300,.347,.647,94,190,6,5,0,6,2,104
Toronto Blue Jays,32,27.1,4.24,17,629,572,72,145,26,0,25,71,7,2,40,144,.253,.308,.430,.738,116,246,11,8,1,7,3,111
Washington Nationals,33,29.6,3.44,18,657,587,62,131,26,0,11,61,2,3,51,141,.223,.291,.324,.615,85,190,12,7,5,4,2,118
