Tm,#Fld,RA/G,DefEff,G,GS,CG,Inn,Ch,PO,A,E,DP,Fld%,Rtot,Rtot/yr,Rdrs,Rdrs/yr,Rgood
Arizona Diamondbacks,36,4.18,.711,17,153,105,1359.0,617,453,147,17,16,.972,3,2,6,2,0
Atlanta Braves,32,4.82,.686,17,153,125,1341.0,585,447,131,7,8,.988,-11,-10,-6,-2,0
Baltimore Orioles,31,3.56,.697,16,144,109,1251.0,595,417,165,13,18,.978,2,1,4,0,1
Boston Red Sox,30,4.12,.711,17,153,127,1356.0,587,452,128,7,14,.988,6,5,10,-1,-1
Chicago Cubs,30,4.06,.690,16,144,106,1242.0,568,414,147,7,19,.988,-1,-1,-2,0,-1
Chicago White Sox,31,4.53,.654,15,135,102,1170.0,517,390,109,18,8,.965,-18,-18,-7,-8,0
Cincinnati Reds,34,5.25,.670,16,144,115,1215.0,525,405,117,3,10,.994,-4,-4,-11,-2,0
Cleveland Guardians,34,4.06,.726,16,144,103,1257.0,557,419,130,8,12,.986,5,5,8,0,0
Colorado Rockies,29,4.88,.655,16,144,109,1287.0,616,429,176,11,23,.982,-2,-2,-3,0,0
Detroit Tigers,34,3.87,.724,15,135,106,1206.0,529,402,121,6,5,.989,1,1,-1,-1,0
Houston Astros,30,4.25,.700,16,144,116,1272.0,560,424,129,7,13,.988,1,1,8,1,1
Kansas City Royals,30,4.79,.676,14,126,101,1134.0,508,378,127,3,16,.994,-4,-5,-11,0,2
Los Angeles Angels,33,4.24,.742,17,153,113,1359.0,607,453,141,13,8,.979,7,6,3,0,-1
Los Angeles Dodgers,31,2.38,.752,16,144,123,1284.0,569,428,137,4,11,.993,10,10,3,2,-1
Miami Marlins,28,3.87,.712,15,135,100,1188.0,532,396,126,10,13,.981,5,5,5,0,2
Milwaukee Brewers,28,3.53,.708,17,153,120,1341.0,605,447,151,7,11,.988,2,2,8,4,-2
Minnesota Twins,34,3.50,.722,16,144,108,1269.0,561,423,130,8,10,.986,9,8,1,0,1
New York Mets,32,2.83,.736,18,162,119,1449.0,634,483,146,5,10,.992,4,4,7,-2,1
New York Yankees,29,2.75,.722,16,144,98,1311.0,592,437,151,4,11,.993,6,6,3,1,1
Oakland Athletics,36,3.53,.700,17,153,108,1347.0,614,449,152,13,13,.979,0,0,0,-1,-2
Philadelphia Phillies,31,4.53,.704,17,153,114,1332.0,618,444,165,9,15,.985,-6,-6,-8,0,-1
Pittsburgh Pirates,30,5.31,.687,16,144,107,1242.0,561,414,137,10,13,.982,-13,-12,-2,0,1
San Diego Padres,31,3.59,.755,17,153,114,1359.0,602,453,147,2,16,.997,14,13,16,4,0
Seattle Mariners,30,3.69,.725,16,144,120,1287.0,573,429,134,10,16,.983,-1,-1,7,0,1
San Francisco Giants,33,2.59,.704,17,153,102,1371.0,618,457,153,8,15,.987,-7,-7,-3,-1,-1
St. Louis Cardinals,27,3.07,.696,15,135,114,1179.0,552,393,152,7,15,.987,-3,-3,8,6,0
Tampa Bay Rays,35,3.94,.725,16,144,113,1251.0,559,417,133,9,8,.984,7,7,8,0,0
Texas Rangers,33,5.00,.683,16,144,95,1260.0,579,420,149,10,14,.983,-2,-2,7,1,2
Toronto Blue Jays,32,3.82,.710,17,153,117,1353.0,609,451,150,8,14,.987,4,3,7,1,2
Washington Nationals,32,5.56,.654,18,162,131,1422.0,634,474,150,10,11,.984,-13,-11,-9,-10,0
