Tm,#P,PAge,RA/G,W,L,W-L%,ERA,G,GS,GF,CG,tSho,cSho,SV,IP,H,R,ER,HR,BB,IBB,SO,HBP,BK,WP,BF,ERA+,FIP,WHIP,H9,HR9,BB9,SO9,SO/W,LOB
Arizona Diamondbacks,21,30.6,4.18,6,11,.353,3.40,17,17,17,0,0,0,3,151.0,131,71,57,14,62,4,115,7,0,6,641,120,4.11,1.278,7.8,0.8,3.7,6.9,1.85,119
Atlanta Braves,18,29.5,4.82,7,10,.412,4.59,17,17,17,0,1,0,6,149.0,133,82,76,14,64,1,168,8,1,6,648,91,3.48,1.322,8.0,0.8,3.9,10.1,2.63,119
Baltimore Orioles,18,28.1,3.56,6,10,.375,3.17,16,16,16,0,3,0,4,139.0,121,57,49,10,56,0,119,5,1,4,585,126,3.60,1.273,7.8,0.6,3.6,7.7,2.13,113
Boston Red Sox,16,31.1,4.12,7,10,.412,3.82,17,17,17,0,1,0,4,150.2,129,70,64,21,60,3,154,10,1,7,635,107,4.22,1.254,7.7,1.3,3.6,9.2,2.57,116
Chicago Cubs,16,30.8,4.06,7,9,.438,4.11,16,16,16,0,2,0,5,138.0,125,65,63,15,56,0,136,3,1,4,580,98,3.79,1.312,8.2,1.0,3.7,8.9,2.43,101
Chicago White Sox,16,28.6,4.53,6,9,.400,4.08,15,15,15,0,0,0,5,130.0,120,68,59,12,61,1,148,6,0,9,572,92,3.53,1.392,8.3,0.8,4.2,10.2,2.43,115
Cincinnati Reds,17,26.9,5.25,3,13,.188,5.40,16,16,16,0,0,0,3,135.0,138,84,81,15,71,1,135,11,0,8,609,82,4.33,1.548,9.2,1.0,4.7,9.0,1.90,120
Cleveland Guardians,18,26.7,4.06,7,9,.438,3.61,16,16,16,0,0,0,2,139.2,115,65,56,17,43,0,125,8,1,8,572,105,3.95,1.131,7.4,1.1,2.8,8.1,2.91,89
Colorado Rockies,15,29.7,4.88,10,6,.625,4.34,16,16,16,0,0,0,9,143.0,157,78,69,12,49,2,112,5,0,7,621,102,3.72,1.441,9.9,0.8,3.1,7.0,2.29,115
Detroit Tigers,19,27.2,3.87,6,9,.400,3.22,15,15,15,0,2,0,4,134.0,116,58,48,10,37,1,106,1,0,3,553,119,3.30,1.142,7.8,0.7,2.5,7.1,2.86,93
Houston Astros,16,29.7,4.25,7,9,.438,3.76,16,16,16,0,1,0,3,141.1,127,68,59,13,54,1,129,11,1,5,602,100,3.81,1.281,8.1,0.8,3.4,8.2,2.39,112
Kansas City Royals,17,27.6,4.79,5,9,.357,4.57,14,14,14,0,2,0,3,126.0,129,67,64,10,51,2,107,4,1,5,545,87,3.70,1.429,9.2,0.7,3.6,7.6,2.10,104
Los Angeles Angels,19,27.8,4.24,10,7,.588,3.93,17,17,17,0,3,0,4,151.0,115,72,66,19,58,4,141,6,1,3,630,98,4.10,1.146,6.9,1.1,3.5,8.4,2.43,105
Los Angeles Dodgers,18,29.2,2.38,12,4,.750,2.08,16,16,15,1,2,1,4,142.2,95,38,33,9,35,0,147,8,0,5,558,189,2.72,0.911,6.0,0.6,2.2,9.3,4.20,93
Miami Marlins,15,27.9,3.87,7,8,.467,3.41,15,15,15,0,1,0,4,132.0,106,58,50,14,48,1,136,7,0,6,548,116,3.63,1.167,7.2,1.0,3.3,9.3,2.83,95
Milwaukee Brewers,16,28.2,3.53,10,7,.588,3.32,17,17,17,0,1,0,8,149.0,117,60,55,12,64,1,167,9,0,9,628,121,3.34,1.215,7.1,0.7,3.9,10.1,2.61,121
Minnesota Twins,19,29.4,3.50,8,8,.500,3.38,16,16,16,0,2,0,2,141.0,119,56,53,19,50,1,134,2,0,4,585,110,4.02,1.199,7.6,1.2,3.2,8.6,2.68,107
